ce worker worktree-prune: dry-run (670 candidate(s))
VERDICT      REASON             BRANCH                   PATH
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce669-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce670-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce671-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce672-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce673-review
REPORT_ONLY  unpushed-commits   ce-374-prepitch-docs-slice /home/cedev2/creator-engine/.ce/wt-ce689-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce690-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce691-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce692-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce693-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce694-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-ce697-review
REPORT_ONLY  unpushed-commits   ce-l7-injection-cleanup  /home/cedev2/creator-engine/.ce/wt-ce703-review
REPORT_ONLY  too-new            ce-388-payload-data-only-harvest /home/cedev2/creator-engine/.ce/wt-ce740r4-harvest
REPORT_ONLY  dirty              ce-brain-eval-harness    /home/cedev2/creator-engine/.ce/wt-ce79-brain-eval-harvest
REPORT_ONLY  dirty              ce-brain-hydration-launch /home/cedev2/creator-engine/.ce/wt-ce79-brain-hydration-harvest
REPORT_ONLY  dirty              ce-brain-memory-augmentation /home/cedev2/creator-engine/.ce/wt-ce79-braind-harvest
REPORT_ONLY  dirty              ce-brain-ingest-refresh  /home/cedev2/creator-engine/.ce/wt-ce79-harvest
REPORT_ONLY  unpushed-commits   ce-L2-automerge-canary-livedata /home/cedev2/creator-engine/.ce/wt-ceL2-harvest
REPORT_ONLY  dirty              ce-L3-triage-ready-queue-p0 /home/cedev2/creator-engine/.ce/wt-ceL3-harvest
REPORT_ONLY  dirty              ce-L4-launch-hydration-fallback /home/cedev2/creator-engine/.ce/wt-ceL4-harvest
REPORT_ONLY  unpushed-commits   ce-conveyor-harvest-core /home/cedev2/creator-engine/.ce/wt-conveyor-review
REPORT_ONLY  unpushed-commits   ce-conveyor-bundle-landing /home/cedev2/creator-engine/.ce/wt-conveyorS-review
REPORT_ONLY  unpushed-commits   ce-supportagent-eval-corpus-expand-harvest /home/cedev2/creator-engine/.ce/wt-corpus-harvest
REPORT_ONLY  unpushed-commits   ce-brain-deterministic-citations /home/cedev2/creator-engine/.ce/wt-deterministic-citations-brain
REPORT_ONLY  dirty              ce-fleet-iac-p0-manifest-guard /home/cedev2/creator-engine/.ce/wt-fleet-p0-harvest
REPORT_ONLY  dirty              ce-ci-runblock-injection-guard /home/cedev2/creator-engine/.ce/wt-guard-harvest
REPORT_ONLY  unpushed-commits   ce-l2-autonomy-arming    /home/cedev2/creator-engine/.ce/wt-l2-harvest
REPORT_ONLY  dirty              ce-l2-spotcheck-openssh-note /home/cedev2/creator-engine/.ce/wt-l2-spotcheck
REPORT_ONLY  unpushed-commits   ce-brain-l4-recall       /home/cedev2/creator-engine/.ce/wt-l4-harvest
REPORT_ONLY  unpushed-commits   ce-663-guard-blocking    /home/cedev2/creator-engine/.ce/wt-l6-harvest
REPORT_ONLY  dirty              ce-n15-docs-html         /home/cedev2/creator-engine/.ce/wt-n15-docs-html
REPORT_ONLY  dirty              ce-n1d-sshkeygen-preflight /home/cedev2/creator-engine/.ce/wt-n1d-harvest
REPORT_ONLY  too-new            ce-n2-triage-pickup-filter /home/cedev2/creator-engine/.ce/wt-n2-pickup-harvest
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-onboarding-review
REPORT_ONLY  dirty              ce-oq1-os-native-mechanism /home/cedev2/creator-engine/.ce/wt-oq1-harvest
REPORT_ONLY  dirty              ce-speckit-retire-skills /home/cedev2/creator-engine/.ce/wt-phase1-harvest
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-phase1-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-phase2-specify
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-phase4-review
REPORT_ONLY  too-new            ce-pilot-docs-daytoday   /home/cedev2/creator-engine/.ce/wt-pilot-docs-fix
REPORT_ONLY  dirty              ce-l1-install-doc-fix    /home/cedev2/creator-engine/.ce/wt-resign-llms
REPORT_ONLY  unpushed-commits   resign-llms-install-spec /home/cedev2/creator-engine/.ce/wt-resign-llms-install
REPORT_ONLY  unpushed-commits   feat/vps-seat-validator-venv /home/cedev2/creator-engine/.ce/wt-vps-validator-venv
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.claude/worktrees/agent-a02a07dc0690ddb1c
REPORT_ONLY  unpushed-commits   ce267-broker-daemon-vault-wiring /home/cedev2/creator-engine/.claude/worktrees/agent-a065c250b744150a9
REPORT_ONLY  unpushed-commits   ce250-herdr-session-rebuild /home/cedev2/creator-engine/.claude/worktrees/agent-a0b45c1601163d7fa
REPORT_ONLY  dirty              worktree-agent-a0ba87fc8a22e4580 /home/cedev2/creator-engine/.claude/worktrees/agent-a0ba87fc8a22e4580
REPORT_ONLY  locked             ce-docs-refresh-20260625 /home/cedev2/creator-engine/.claude/worktrees/agent-a0be3d5ee5e1619e7
REPORT_ONLY  unpushed-commits   ce197-rebase-work        /home/cedev2/creator-engine/.claude/worktrees/agent-a0dba56a37a5b31b2
REPORT_ONLY  unpushed-commits   worktree-agent-a0ef68c98184ba801 /home/cedev2/creator-engine/.claude/worktrees/agent-a0ef68c98184ba801
REPORT_ONLY  unpushed-commits   ce240-contained-controller-scaffold /home/cedev2/creator-engine/.claude/worktrees/agent-a0f7e9bc8f6d05b64
REPORT_ONLY  unpushed-commits   ce221-containment-probe  /home/cedev2/creator-engine/.claude/worktrees/agent-a114ad68f58b8d3a2
REPORT_ONLY  unpushed-commits   ce157-mint-broker        /home/cedev2/creator-engine/.claude/worktrees/agent-a11bc429e6874806b
REPORT_ONLY  unpushed-commits   ce276-surfaces-check-updates /home/cedev2/creator-engine/.claude/worktrees/agent-a150d738dbd87a74e
REPORT_ONLY  dirty              ce244-worker-tier        /home/cedev2/creator-engine/.claude/worktrees/agent-a154dffb7889747d3
REPORT_ONLY  unpushed-commits   ce151-stale-review-reconcile /home/cedev2/creator-engine/.claude/worktrees/agent-a1565a441e00156bf
REPORT_ONLY  unpushed-commits   ce265-egress-broker-vps-deploy /home/cedev2/creator-engine/.claude/worktrees/agent-a17436a7375f42f72
REPORT_ONLY  unpushed-commits   ce291a-automerge-classifier-dryrun /home/cedev2/creator-engine/.claude/worktrees/agent-a17a6bfd9d8cdef00
REPORT_ONLY  unpushed-commits   ce146-ssdf-slsa-matrix   /home/cedev2/creator-engine/.claude/worktrees/agent-a19f37f31c0ef0639
REPORT_ONLY  unpushed-commits   worktree-agent-a1bd542820b3fb76c /home/cedev2/creator-engine/.claude/worktrees/agent-a1bd542820b3fb76c
REPORT_ONLY  unpushed-commits   worktree-agent-a1cb51dfc692bf009 /home/cedev2/creator-engine/.claude/worktrees/agent-a1cb51dfc692bf009
REPORT_ONLY  unpushed-commits   ce221-containment-probe-failclosed /home/cedev2/creator-engine/.claude/worktrees/agent-a1dff4bc400364b24
REPORT_ONLY  unpushed-commits   ce197-rebase-local       /home/cedev2/creator-engine/.claude/worktrees/agent-a1fa30bbfb161eadd
REPORT_ONLY  unpushed-commits   ce209-deflake-seat-sentinel /home/cedev2/creator-engine/.claude/worktrees/agent-a1fc062edcde519f7
REPORT_ONLY  unpushed-commits   ce188-belt-reviews-pickup /home/cedev2/creator-engine/.claude/worktrees/agent-a1fce41f45ba6fb17
REPORT_ONLY  unpushed-commits   harvest-ce248            /home/cedev2/creator-engine/.claude/worktrees/agent-a222ee4823de8a019
REPORT_ONLY  dirty              ce-onboarding-mode-cell-banners /home/cedev2/creator-engine/.claude/worktrees/agent-a26e136898f8bc6ff
REPORT_ONLY  unpushed-commits   ce166-knowledge-ssot-slice1 /home/cedev2/creator-engine/.claude/worktrees/agent-a27d4f80a69b36c78
REPORT_ONLY  unpushed-commits   worktree-agent-a2c62e95fbaae72d4 /home/cedev2/creator-engine/.claude/worktrees/agent-a2c62e95fbaae72d4
REPORT_ONLY  unpushed-commits   ce252-validate-pr-ci-parity /home/cedev2/creator-engine/.claude/worktrees/agent-a2e75f1b5d1bb7b7a
REPORT_ONLY  dirty              worktree-agent-a2ecff3ab896d2eb0 /home/cedev2/creator-engine/.claude/worktrees/agent-a2ecff3ab896d2eb0
REPORT_ONLY  unpushed-commits   ce188-refactor-local     /home/cedev2/creator-engine/.claude/worktrees/agent-a34b70e015fca9fb8
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.claude/worktrees/agent-a366530bbf552a32a
REPORT_ONLY  unpushed-commits   ce207-channel-emission   /home/cedev2/creator-engine/.claude/worktrees/agent-a388568f9840a12f6
REPORT_ONLY  unpushed-commits   fwheel1-rebase-work      /home/cedev2/creator-engine/.claude/worktrees/agent-a390ac11250967ebf
REPORT_ONLY  too-new            worktree-agent-a3a254afd70aeabb7 /home/cedev2/creator-engine/.claude/worktrees/agent-a3a254afd70aeabb7
REPORT_ONLY  too-new            ce-n5-worktree-prune     /home/cedev2/creator-engine/.claude/worktrees/agent-a3a254afd70aeabb7/.ce/wt-n5-rework-harvest
REPORT_ONLY  unpushed-commits   ce249-redact-live-infra  /home/cedev2/creator-engine/.claude/worktrees/agent-a3cc74e95f47b637d
REPORT_ONLY  unpushed-commits   ce271-ringuard-toolchain-selfupdate /home/cedev2/creator-engine/.claude/worktrees/agent-a3e7de3afab57c693
REPORT_ONLY  unpushed-commits   ce241-contained-controller-parity /home/cedev2/creator-engine/.claude/worktrees/agent-a3ebe164e8f26c7b8
REPORT_ONLY  unpushed-commits   ce55-pickup-belt         /home/cedev2/creator-engine/.claude/worktrees/agent-a4538a5cfd57a3b9b
REPORT_ONLY  unpushed-commits   ce188-fix                /home/cedev2/creator-engine/.claude/worktrees/agent-a49ff0a5d811d6325
REPORT_ONLY  unpushed-commits   ce253-controller-inbox   /home/cedev2/creator-engine/.claude/worktrees/agent-a4c0a50df6623ec8e
REPORT_ONLY  unpushed-commits   ce-ops-249-remove-roadmap-paths /home/cedev2/creator-engine/.claude/worktrees/agent-a50d3af8574280985
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.claude/worktrees/agent-a557e7810f3bafd28
REPORT_ONLY  locked             feat/runsc-detached-launch-mode /home/cedev2/creator-engine/.claude/worktrees/agent-a58a55ef24c44c56b
REPORT_ONLY  unpushed-commits   ce221-probe-gvisor-detect /home/cedev2/creator-engine/.claude/worktrees/agent-a5b3732e5d171ac15
REPORT_ONLY  unpushed-commits   ce235-dequeue-settle     /home/cedev2/creator-engine/.claude/worktrees/agent-a5c67eac70ed1f049
